"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1uF";"CAPACITORRAD-3MM";"CAPPRD254W65D300H300B";"C1";"Capacitor";"";
"1";"0215002.MXESPP";"FUSE0215002.MXESPP";"0215002.MXESPP";"F1";"Fuse - Various Devices";"";
"1";"100k";"PV36W104C01B00";"PV36W104C01B00";"R2";"PV36W104C01B00 Bourns Inc.";"";
"1";"100uF";"CAP_THCAP-TH-5MM";"CAP-TH-5MM";"C2";"Capacitor Electro. TH";"";
"5";"10k";"RESISTOR0805";"R0805";"R1, R4, R5, R11, R12";"Resistor US";"";
"7";"400";"RESISTOR0805";"R0805";"R3, R6, R7, R8, R9, R10, R13";"Resistor US";"";
"1";"DS18B20";"DS18B20";"TO-92";"U4";"DS18B20+T&R Maxim Integrated";"";
"1";"ERR";"LED0805";"R0805";"D5";"LED GENERIC";"";
"1";"FET_BYPASS";"HDR1X22P2.54MM";"HDR1X2";"J1";"Header 2pin 2.54mm pitch";"";
"1";"FQP27P06";"FQP27P06";"TO-220-BEND";"Q1";"FQP27P06 ON Semiconductor";"";
"1";"HDR2X7HDR2X7";"HDR2X7HDR2X7";"HDR2X7";"J2";"";"";
"1";"LM393AP";"LM393APDIP8";"DIP8";"U1";"LM393AP Texas Instruments";"";
"1";"LM4040CIZ-2.5";"ZENERLM4040CIZ-2.5";"TO-92";"D1";"Voltage Reference - Zener Diode";"";
"1";"MS9P1B10M2QE";"SPSTPMS9P1B10M2QE";"PMS9P1B10M2QE";"SW2";"Switch SPST";"";
"1";"PMS9P1B10M2QE";"SPSTPMS9P1B10M2QE";"PMS9P1B10M2QE";"SW1";"Switch SPST";"";
"1";"PWR";"LED0805";"R0805";"D3";"LED GENERIC";"";
"1";"REC";"LED0805";"R0805";"D4";"LED GENERIC";"";
"1";"REC2";"LED_THLED-2.54";"LEDRD254W60D565H860B";"D2";"TH LED - large";"";
"1";"RPIPI_3A+";"RPIPI_3A+";"PI_3A+";"U5";"Pi Header with different package variations";"";
"1";"SOLDERING_PADS";"SOLDERING_PADS";"SOLDERING_PADS";"E1";"Pads for soldering wires";"";
"2";"TSR2-2450";"TSR2-2450";"TSR2-2450";"U2, U3";"TSR 2-2450 Traco Power";"";
